name,category,price,image_url
Amstel 473ml,Cervezas,$2000.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/amstel-473ml
Andes Negra 473ml,Cervezas,$2200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/andes-negra-473ml
Andes Rubia 473ml,Cervezas,$2600.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/andes-rubia-473ml
Barril Heineken 5L,Cervezas,$85000.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/barril-heineken-5l
Brahma 473ml,Cervezas,$2500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/brahma-473ml
Brahma 710ml,Cervezas,$3500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/brahma-710ml
Budweiser 473ml,Cervezas,$2200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/budweiser-473ml
Cordoba 473ml,Cervezas,$1400.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/cordoba-473ml
Corona 330ml,Cervezas,$3500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/corona-330ml
Corona 330ml 0.0,Cervezas,$2800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/corona-330ml-00
Corona 710ml,Cervezas,$5200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/corona-710ml
Heineken 473ml,Cervezas,$3500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/heineken-473ml
Heineken 710ml,Cervezas,$5000.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/heineken-710ml
Heineken 330ml,Cervezas,$3200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/heineken-330ml
Imperial Golden 473ml,Cervezas,$2500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/imperial-golden-473ml
Imperial Ipa 473ml,Cervezas,$2200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/imperial-ipa-473ml
Ortuzar Golden,Cervezas,$2800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/ortuzar-golden
Ortuzar Honey,Cervezas,$2800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/ortuzar-honey
Ortuzar Ipa,Cervezas,$2800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/ortuzar-ipa
Ortuzar Lager,Cervezas,$2000.02,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/ortuzar-lager
Ortuzar Negra,Cervezas,$2800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/ortuzar-negra
Ortuzar Scottish,Cervezas,$2800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/ortuzar-scottish
Patagonia 24.7 710ml,Cervezas,$5800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/patagonia-247-710ml
Patagonia Amber Lager 730ml,Cervezas,$5800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/patagonia-amber-lager-730ml
Patagonia Lager Del Sur 730ml,Cervezas,$5800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/patagonia-lager-del-sur-730ml
Patagonia Vera Ipa 730ml,Cervezas,$5800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/patagonia-vera-ipa-730ml
Quilmes 1890 1L,Cervezas,$3300.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/quilmes-1890-1l
Quilmes 1890 473ml,Cervezas,$1800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/quilmes-1890-473ml
Quilmes 710ml,Cervezas,$3000.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/quilmes-710ml
Schneider 710ml,Cervezas,$2800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/schneider-710ml
Stella Artois 473ml,Cervezas,$3200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/stella-artois-473ml
Stella Artois 330ml,Cervezas,$3000.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/stella-artois-330ml
Stella Artois Noire 473ml,Cervezas,$3000.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/stella-artois-noire-473ml
Stella Artois Sin Alcohol 330ml,Cervezas,$2500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/stella-artois-sin-alcohol-330ml
Andes Ipa 473ml,Cervezas,$2600.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/andes-ipa-473ml
Andes Roja 473ml,Cervezas,$2600.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/andes-roja-473ml
Stella Artois 710ml,Cervezas,$4200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/cervezas/stella-artois-710ml
Alambrado Cabernet Franc 750ml,Vinos Tintos,$6900.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/alambrado-cabernet-franc-750ml
Alambrado Malbec 750ml,Vinos Tintos,$6900.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/alambrado-malbec-750ml
Alamos Malbec 750ml,Vinos Tintos,$7499.94,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/alamos-malbec-750ml
Alma Mora Malbec 750ml,Vinos Tintos,$6000.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/alma-mora-malbec-750ml
Antuan Malbec 750ml,Vinos Tintos,$6899.85,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/antuan-malbec-750ml
Azul Cabernet Sauvignon 750ml,Vinos Tintos,$9800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/azul-cabernet-sauvignon-750ml
Azul El Buscapleitos Ed Limitada 750ml,Vinos Tintos,$16800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/azul-el-buscapleitos-ed-limitada-750ml
Azul Malbec 750ml,Vinos Tintos,$9100.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/azul-malbec-750ml
Azul Reserva Blend 750ml,Vinos Tintos,$16800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/azul-reserva-blend-750ml
B J Xeneizes 750ml,Vinos Tintos,$8800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/b-j-xeneizes-750ml
Bag In Box Malbec X3lt,Vinos Tintos,$26800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/bag-in-box-malbec-x3lt
Azul El Buscapleitos Cabernet Franc,Vinos Tintos,$16800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/azul-el-buscapleitos-cabernet-franc
Callia Malbec 750ml,Vinos Tintos,$4300.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/callia-malbec-750ml
Callia Tinto Tardio Dulce 750ml,Vinos Tintos,$4000.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/callia-tinto-tardio-dulce-750ml
Casillero Del Diablo Malbec 750ml,Vinos Tintos,$5800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/casillero-del-diablo-malbec-750ml
Clandestino Malbec 750ml,Vinos Tintos,$12200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/clandestino-malbec-750ml
Clandestino Malbec Reserva 750ml,Vinos Tintos,$14500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/clandestino-malbec-reserva-750ml
Cordero Con Piel De Lobo Cabernet 750ml,Vinos Tintos,$6200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/cordero-con-piel-de-lobo-cabernet-750ml
Cordero Con Piel De Lobo Malbec 750ml,Vinos Tintos,$6200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/cordero-con-piel-de-lobo-malbec-750ml
Don Nadie Malbec 750ml,Vinos Tintos,$8200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/don-nadie-malbec-750ml
Dv Catena Cabernet - Malbec 750,Vinos Tintos,$15800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/dv-catena-cabernet-malbec-750
Etico Malbec 750ml,Vinos Tintos,$6500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/etico-malbec-750ml
Fabre M. Assemblage 750ml,Vinos Tintos,$10400.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/fabre-m-assemblage-750ml
Fabre M. Classic Malbec 750ml,Vinos Tintos,$8700.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/fabre-m-classic-malbec-750ml
Fabre M Cabernet 750ml,Vinos Tintos,$6500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/fabre-m-cabernet-750ml
Fabre M Terruño Malbec 750ml,Vinos Tintos,$12300.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/fabre-m-terruno-malbec-750ml
Fabre M. Terruño Reserva Cabernet Franc 750ml,Vinos Tintos,$13500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/fabre-m-terruno-reserva-cabernet-franc-750ml
Fam Carbonero Estate Cabernet 750ml,Vinos Tintos,$7800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/fam-carbonero-estate-cabernet-750ml
Fam Carbonero Estate Malbec 750ml,Vinos Tintos,$7800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/fam-carbonero-estate-malbec-750ml
Fam Carbonero Reserva Malbec Organico 750ml,Vinos Tintos,$10900.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/fam-carbonero-reserva-malbec-organico-750ml
Familia Giacometti Malbec 750ml,Vinos Tintos,$5500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/familia-giacometti-malbec-750ml
Familia Giacometti Malbec Roble 750ml,Vinos Tintos,$6500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/familia-giacometti-malbec-roble-750ml
Familia Giacommetti Cabernet 750ml,Vinos Tintos,$5500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/familia-giacommetti-cabernet-750ml
Federhaus Cabernet Sauvignon 750ml,Vinos Tintos,$15500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/federhaus-cabernet-sauvignon-750ml
Federhaus Petit Verdot 750ml,Vinos Tintos,$15500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/federhaus-petit-verdot-750ml
Federhaus Reserve Malbec 750ml,Vinos Tintos,$15500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/federhaus-reserve-malbec-750ml
Federhaus Signature Bonarda 750ml,Vinos Tintos,$8200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/federhaus-signature-bonarda-750ml
Federhaus Torrontes 750ml,Vinos Tintos,$8200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/federhaus-torrontes-750ml
Finca Las Moras 750ml,Vinos Tintos,$4500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/finca-las-moras-750ml
Finjamos Demencia Corte De Tintas 750ml,Vinos Tintos,$4800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/finjamos-demencia-corte-de-tintas-750ml
Finjamos Demencia Malbec 750ml,Vinos Tintos,$4800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/finjamos-demencia-malbec-750ml
Flichman Estate Malbec 750ml,Vinos Tintos,$6800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/flichman-estate-malbec-750ml
Gordo Motoneta 750ml,Vinos Tintos,$4900.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/gordo-motoneta-750ml
Killka Salentein Malbec 750ml,Vinos Tintos,$7600.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/killka-salentein-malbec-750ml
La Linda Malbec 750ml,Vinos Tintos,$10200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/la-linda-malbec-750ml
Las Perdices Cabernet Sauvignon 750ml,Vinos Tintos,$7800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/las-perdices-cabernet-sauvignon-750ml
Las Perdices Malbec 750ml,Vinos Tintos,$8400.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/las-perdices-malbec-750ml
Las Perdices Partrigde Box Malbec 3L,Vinos Tintos,$18500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/las-perdices-partrigde-box-malbec-3l
Las Perdices Partrigde Malbec 750ml,Vinos Tintos,$6200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/las-perdices-partrigde-malbec-750ml
Las Perdices Partrigde Red Blend 750ml,Vinos Tintos,$5800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/las-perdices-partrigde-red-blend-750ml
Latitud 33 Cabernet Sauv 750ml,Vinos Tintos,$6800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/latitud-33-cabernet-sauv-750ml
Latitud 33 Malbec 750ml,Vinos Tintos,$6800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/latitud-33-malbec-750ml
Laureano Gomez Terroir Blend 750ml,Vinos Tintos,$17500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/laureano-gomez-terroir-blend-750ml
Laureano Gomez Terroir Malbec 750ml,Vinos Tintos,$17500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/laureano-gomez-terroir-malbec-750ml
Laureano Gomez Terroir Merlot 750ml,Vinos Tintos,$17500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/laureano-gomez-terroir-merlot-750ml
Laureano Gomez Terroir Pinot Noir 750ml,Vinos Tintos,$17500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/laureano-gomez-terroir-pinot-noir-750ml
Luigi Bosca Cabernet Sauv 750ml,Vinos Tintos,$15600.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/luigi-bosca-cabernet-sauv-750ml
Luigi Bosca Malbec 750ml,Vinos Tintos,$16000.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/luigi-bosca-malbec-750ml
Mestizo Blend 750ml,Vinos Tintos,$8900.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/mestizo-blend-750ml
Mestizo Epic Flame 750ml,Vinos Tintos,$8900.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/mestizo-epic-flame-750ml
Mestizo Malbec 750ml,Vinos Tintos,$8900.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/mestizo-malbec-750ml
Misterio Cabernet 750ml,Vinos Tintos,$4200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/misterio-cabernet-750ml
Misterio Malbec 750ml,Vinos Tintos,$4200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/misterio-malbec-750ml
Nampe Malbec 750ml,Vinos Tintos,$3800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/nampe-malbec-750ml
Naufrago 750ml,Vinos Tintos,$4200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/naufrago-750ml
Otro Loco Mas 750ml,Vinos Tintos,$4900.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/otro-loco-mas-750ml
Portillo Malbec 375ml,Vinos Tintos,$3800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/portillo-malbec-375ml
Portillo Malbec 750,Vinos Tintos,$5100.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/portillo-malbec-750
Profugo 750ml,Vinos Tintos,$3900.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/profugo-750ml
R P La Maquina 750ml,Vinos Tintos,$8700.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/r-p-la-maquina-750ml
Rutini Cabernet Malbec 750ml,Vinos Tintos,$16800.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/rutini-cabernet-malbec-750ml
Saint Felicien Malbec 750ml,Vinos Tintos,$12000.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/saint-felicien-malbec-750ml
Salentein Reserva Cabernet 750ml,Vinos Tintos,$11900.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/salentein-reserva-cabernet-750ml
Salentein Reserva Malbec 750ml,Vinos Tintos,$12200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/salentein-reserva-malbec-750ml
Santa Julia Tinto Reserva 750ml,Vinos Tintos,$8200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/santa-julia-tinto-reserva-750ml
Sensei Malbec 750ml,Vinos Tintos,$9200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/sensei-malbec-750ml
Terrazas Res Cabernet Sauv 750ml,Vinos Tintos,$16700.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/terrazas-res-cabernet-sauv-750ml
Terrazas Res Malbec 750ml,Vinos Tintos,$14900.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/terrazas-res-malbec-750ml
Toro Tetra 1L,Vinos Tintos,$2500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/toro-tetra-1l
Trivento Reserva Malbec 750ml,Vinos Tintos,$7200.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/trivento-reserva-malbec-750ml
Trumpeter Cabernet Sauvignon 750ml,Vinos Tintos,$9500.00,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/vinos-tintos/trumpeter-cabernet-sauvignon-750ml
